code,system
D111500,readv2
D111000,readv2
D107000,readv2
D112012,readv2
D111100,readv2
D1z..00,readv2
D11z100,readv2
D100.12,readv2
D110.11,readv2
D107300,readv2
Dyu1300,readv2
D107z00,readv2
D107400,readv2
D112100,readv2
D112z12,readv2
D112z13,readv2
D112000,readv2
D107600,readv2
D107y00,readv2
D107700,readv2
D107100,readv2
D112011,readv2
D107.00,readv2
D107200,readv2
D107500,readv2
D112200,readv2
D110200,readv2
D110000,readv2
D112z11,readv2
D10y000,readv2
D112.00,readv2
D112z00,readv2
D111y00,readv2
D110.00,readv2
D111.00,readv2
Dyu1500,readv2
D110z00,readv2
D111z00,readv2
D102100,readv2
D100.00,readv2
D11z000,readv2
1453.00,readv2
D102200,readv2
D103z00,readv2
D55,readv2
Q430z00,readv2
Q430.00,readv2
D10z.00,readv2
D101.00,readv2
D101.11,readv2
D10..00,readv2
D58,readv2
D102000,readv2
Q430000,readv2
D110100,readv2
D1...00,readv2
Dyu1.00,readv2
28238.0,readv2
39682.0,readv2
91034.0,readv2
63936.0,readv2
5434.0,readv2
7237.0,readv2
22531.0,readv2
61665.0,readv2
31107.0,readv2
38327.0,readv2
107820.0,readv2
55561.0,readv2
40545.0,readv2
100022.0,readv2
47598.0,readv2
49182.0,readv2
7526.0,readv2
31734.0,readv2
110176.0,readv2
64619.0,readv2
48096.0,readv2
32373.0,readv2
29933.0,readv2
29323.0,readv2
31800.0,readv2
49822.0,readv2
46322.0,readv2
50495.0,readv2
67088.0,readv2
43367.0,readv2
3818.0,readv2
39164.0,readv2
44381.0,readv2
52522.0,readv2
57575.0,readv2
39944.0,readv2
104454.0,readv2
15314.0,readv2
27771.0,readv2
21369.0,readv2
45944.0,readv2
7624.0,readv2
49451.0,readv2
100388.0,readv2
64468.0,readv2
39876.0,readv2
57298.0,readv2
35612.0,readv2
71808.0,readv2
26437.0,readv2
31662.0,readv2
D11..00,readv2
D11z.00,readv2
D59,readv2
D10yz00,readv2
D1y..00,readv2
D10y.00,readv2
D103300,readv2
D102.00,readv2
D100.11,readv2
D103000,readv2
D103100,readv2
D110400,readv2
D111400,readv2
D111300,readv2
94214.0,readv2
21335.0,readv2
87112.0,readv2
14698.0,readv2
39967.0,readv2
70762.0,readv2
103151.0,readv2
99917.0,readv2
39456.0,readv2
99308.0,readv2
103252.0,readv2
1529.0,readv2
31462.0,readv2
72721.0,readv2
18631.0,readv2
3326.0,readv2
45935.0,readv2
57897.0,readv2
